0,55,50,55.3918,13.7706
1,71,38,71.6113,4.8074
2,85,20,85.8272,-9.3308
2,19,22,19.3952,-7.2860
3,49,48,49.7305,11.9985
3,75,37,75.6327,3.4368
3,22,35,22.2945,2.1347
4,81,23,81.0633,-6.7624
5,25,40,25.0835,6.1157
6,30,32,30.5765,0.1492
7,62,23,62.8717,-6.9688
7,49,45,49.0288,9.6919
7,34,28,34.4098,-3.1592
8,5,21,5.2468,-8.5957
8,28,36,28.1899,2.8034
9,30,22,30.9098,-7.3728
10,56,29,56.1578,-1.9601
10,67,24,67.1366,-5.7456
10,56,56,56.0320,18.2847
11,53,35,53.1249,2.5524
11,36,8,36.8802,-18.6002
11,16,36,16.6361,3.0986
12,30,54,30.5686,16.3799
12,32,15,32.3109,-12.9231
12,62,20,62.7461,-9.0106
13,47,58,47.8759,19.6986
13,64,14,64.3441,-13.4467
13,19,38,19.9531,4.8250
14,46,22,46.7118,-7.3003
14,10,17,10.2052,-11.5669
15,23,20,23.3119,-9.1571
15,84,47,84.5055,11.7891
15,15,51,15.3533,14.1574
16,78,55,78.5340,17.2156
16,61,35,61.1370,2.5630
16,81,44,81.6256,9.0864
17,63,36,63.6631,3.0116
18,78,7,78.6433,-19.2080
18,53,35,53.0882,2.2653
19,47,15,47.8340,-12.6605
20,61,20,61.7355,-9.0586
20,14,27,14.7243,-3.8854
21,51,56,51.6180,18.5269
21,32,46,32.6420,11.0010
21,70,12,70.2082,-15.3652
22,42,49,42.4555,12.7167
22,43,58,43.1216,19.9877
22,23,39,23.1806,5.1294
23,78,37,78.9713,4.1409
23,55,58,55.9296,19.5908
23,49,54,49.1167,16.8633
24,88,36,88.0339,3.0561
24,36,49,36.5841,12.7701
25,58,35,58.6359,2.6309
25,70,17,70.9145,-11.7180
26,43,38,43.8956,4.6231
26,57,39,57.9062,5.6938
27,12,54,12.9178,16.7886
27,36,42,36.7950,7.8459
28,22,14,22.5064,-13.8465
29,47,33,47.0268,0.8831
30,18,20,18.0355,-9.0486
30,16,49,16.1801,13.2194
31,56,22,56.2758,-7.3121
31,18,43,18.7738,8.2632
31,52,24,52.3134,-5.7430
32,70,12,70.6240,-15.1568
33,53,21,53.9053,-8.6997
33,49,54,49.7443,16.4697
33,49,7,49.4069,-18.6753
34,73,49,73.5880,13.2788
34,49,45,49.3036,10.1368
35,29,50,29.8806,13.5117
35,43,35,43.9183,2.4469
36,85,57,85.3561,18.7877
37,51,48,51.6748,12.2777
38,42,40,42.5965,6.3855
38,81,25,81.7343,-5.2168
39,87,29,87.0443,-1.9349
39,37,23,37.2694,-6.6236
39,60,14,60.3691,-13.3596
40,50,48,50.5375,12.3028
40,36,13,36.1628,-14.4522
40,44,24,44.6240,-5.8122
41,35,38,35.8032,4.7972
42,42,27,42.3077,-3.9955
42,86,54,86.2231,16.9864
43,55,19,55.4860,-9.8659
44,48,22,48.1239,-7.8045
44,52,20,52.8486,-9.3423
45,80,22,80.9082,-7.4733
46,52,8,52.2662,-17.9030
46,34,11,34.8417,-16.0738
46,71,26,71.2427,-4.7910
47,48,24,48.0817,-5.9225
48,37,14,37.5658,-13.6743
48,16,14,16.5730,-13.7170
49,89,17,89.4684,-11.6269
50,65,54,65.4988,16.5916
51,20,14,20.2251,-13.5923
52,43,18,43.7678,-10.4927
52,66,42,66.3817,7.5080
52,69,27,69.1073,-3.7483
53,12,37,12.3498,3.8682
53,86,47,86.6811,11.7329
54,8,43,8.8336,8.4387
55,61,14,61.2946,-13.5335
56,13,52,13.4545,15.2153
56,79,26,79.5588,-4.7843
56,83,43,83.7490,8.4220
57,66,35,66.9013,2.2087
57,82,44,82.0139,9.1806
58,78,52,78.8990,15.4177
59,57,7,57.2233,-18.9533
59,74,17,74.1400,-11.4214
60,56,26,56.1459,-4.9201
60,47,27,47.1154,-3.8470
60,78,22,78.5300,-7.5979
61,23,40,23.9887,5.8873
61,39,22,39.2047,-7.7502
62,52,49,52.6148,13.2106
62,25,19,25.2964,-10.0998
62,79,28,79.2310,-3.0176
63,38,47,38.7939,11.2067
63,30,33,30.7661,0.8136
64,78,21,78.8931,-8.4420
64,38,24,38.9795,-5.8929
65,25,57,25.3183,19.2415
65,50,34,50.0193,1.5225
66,19,41,19.6950,6.9575
66,69,42,69.6222,7.8523
66,7,50,7.3442,14.0379
67,8,57,8.4597,18.7247
68,48,15,48.4676,-13.2127
68,32,53,32.1967,16.2386
69,31,55,31.9600,17.2033
70,60,41,60.2248,6.5852
70,80,46,80.5006,10.4993
70,7,48,7.3991,12.5058
71,62,42,62.1015,7.2940
71,37,24,37.0440,-5.8819
71,22,11,22.5358,-15.7026
72,47,26,47.8203,-4.1986
72,36,23,36.9055,-7.0229
73,71,13,71.3634,-14.6203
74,14,29,14.3896,-2.1509
74,5,15,5.6868,-12.9134
75,58,38,58.9240,4.8663
76,21,40,21.1218,5.8560
76,26,25,26.5364,-5.4637
76,35,24,35.3769,-6.0572
77,41,49,41.2290,13.0360
78,36,22,36.0277,-7.4276
78,29,37,29.4164,3.4947
78,60,48,60.1648,12.0488
79,36,58,36.0573,19.7493
79,13,38,13.3145,4.5239
80,68,48,68.0180,12.0648
81,18,7,18.3900,-19.2164
81,9,10,9.9447,-16.3618
82,53,39,53.8554,5.0017
82,76,31,76.7221,-0.9108
82,57,51,57.0327,14.3014
83,78,10,78.8572,-16.9158
84,46,56,46.2880,18.2739
85,28,57,28.2547,18.7648
85,8,15,8.5118,-12.7392
85,66,31,66.9677,-0.8946
86,54,18,54.2989,-10.2872
86,87,48,87.0986,12.2182
86,24,21,24.2102,-8.6656
87,54,20,54.2265,-8.8457
87,80,22,80.1846,-7.9310
88,7,49,7.7196,13.1550
89,8,42,8.0330,7.2667
90,62,53,62.3510,15.9806
91,50,13,50.5291,-14.3302
92,84,26,84.2622,-4.5366
92,73,47,73.2532,11.7798
93,89,58,89.0623,19.7717
94,66,14,66.0588,-13.4192
95,75,23,75.4441,-6.8688
95,6,46,6.7035,10.6802
96,24,45,24.9172,10.0431
96,20,42,20.3048,7.9252
97,18,34,18.8573,1.5128
97,16,41,16.0434,6.6249
98,15,19,15.0699,-9.5133
99,68,22,68.3110,-7.6631
99,48,37,48.2068,3.6704
